Date,GlobalEquity_allocation,GlobalEquity_selection,GlobalEquity_interaction,GlobalEquity_total,Bonds_allocation,Bonds_selection,Bonds_interaction,Bonds_total,allocation_total,selection_total,interaction_total,total
12-May,-0.003671154,4.51524642,0.007887172,4.519462439,-0.00550673,0.38411596,-0.001006453,0.377602777,-0.009177884,4.89936238,0.006880719,4.897065215
12-Jun,-0.005014474,-2.93124036,0.015768808,-2.920486026,-0.007521711,0.07899152,0.00063741,0.072107219,-0.012536185,-2.85224884,0.016406218,-2.848378807
12-Jul,-0.000801262,-0.02881482,-7.23E-05,-0.029688405,-0.001201894,-0.90925256,0.003423225,-0.907031229,-0.002003156,-0.93806738,0.003350902,-0.936719634
12-Aug,0.000188122,-1.86537378,-0.000701782,-1.86588744,0.000282182,-0.7617052,0.000429847,-0.76099317,0.000470304,-2.62707898,-0.000271934,-2.62688061
12-Sep,-0.002337157,-2.0592474,0.007252316,-2.054332241,-0.003505735,-0.33153696,-0.001751424,-0.33679412,-0.005842892,-2.39078436,0.005500891,-2.391126361
12-Oct,0.001569775,0.18292254,-0.000912296,0.183580019,0.002354663,-0.1911684,-0.001430131,-0.190243869,0.003924438,-0.00824586,-0.002342427,-0.006663849
12-Nov,-0.000950447,-0.68942322,0.00178993,-0.688583738,-0.001425671,-0.01347104,-5.25E-05,-0.014949173,-0.002376119,-0.70289426,0.001737468,-0.70353291
12-Dec,-0.00514723,-1.36568202,0.009084339,-1.361744911,-0.007720845,0.27184188,0.002712385,0.26683342,-0.012868075,-1.09384014,0.011796725,-1.094911491
13-Jan,-0.006825084,-2.60199798,0.017010306,-2.591812758,-0.010237626,0.40530344,0.003974447,0.399040261,-0.01706271,-2.19669454,0.020984753,-2.192772497
13-Feb,0.000101468,0.06029244,-2.66E-05,0.060367351,0.000152202,-0.06928048,-4.58E-05,-0.069174051,0.00025367,-0.00898804,-7.23E-05,-0.0088067
13-Mar,-0.000447331,-1.2605154,0.001266541,-1.25969619,-0.000670996,-0.4904506,-0.000739192,-0.491860789,-0.001118327,-1.750966,0.000527348,-1.751556979
13-Apr,0.000255162,-1.63729422,-0.001747239,-1.638786297,0.000382742,-0.89686148,0.001435629,-0.895043109,0.000637904,-2.5341557,-0.00031161,-2.533829406
13-May,-0.001928209,0.0630858,-0.000255438,0.060902153,-0.002892314,1.07980868,0.006558307,1.083474673,-0.004820523,1.14289448,0.006302869,1.144376826
13-Jun,0.000362224,0.98045856,-0.002856133,0.977964651,0.000543336,1.00474976,0.004390342,1.009683438,0.000905559,1.98520832,0.001534209,1.987648088
13-Jul,-0.005280812,-2.4185421,0.014908474,-2.408914438,-0.007921217,0.28189532,0.002606506,0.276580608,-0.013202029,-2.13664678,0.01751498,-2.132333829
13-Aug,0.000690107,1.16668008,-0.002046495,1.165323692,0.001035161,0.67036288,0.001763844,0.673161884,0.001725268,1.83704296,-0.000282651,1.838485577
13-Sep,-0.005204667,-3.6724803,0.016563413,-3.661121555,-0.007807001,-0.17801904,-0.001204337,-0.187030378,-0.013011668,-3.85049934,0.015359075,-3.848151932
13-Oct,-0.00250035,-2.51169402,0.009831369,-2.504363001,-0.003750525,-0.7003922,-0.004112253,-0.708254978,-0.006250876,-3.21208622,0.005719116,-3.21261798
13-Nov,-0.000514095,-0.99058752,0.001242205,-0.98985941,-0.000771142,-0.4707226,-0.000885435,-0.472379177,-0.001285237,-1.46131012,0.00035677,-1.462238587
13-Dec,0.000102914,-0.63481248,-0.000143114,-0.634852681,0.000154371,-0.09564312,3.23E-05,-0.095456406,0.000257284,-0.7304556,-0.000110771,-0.730309087
14-Jan,-0.006348995,3.05330784,0.013268063,3.060226907,-0.009523493,-0.2679188,0.00174635,-0.275695943,-0.015872489,2.78538904,0.015014413,2.784530964
14-Feb,-0.002654714,-2.83481496,0.008330042,-2.829139632,-0.003982071,-0.53027848,-0.002337318,-0.536597869,-0.006636785,-3.36509344,0.005992725,-3.365737501
14-Mar,-0.000394873,-0.10973136,0.000151979,-0.109974254,-0.000592309,0.0883242,0.000183494,0.087915385,-0.000987182,-0.02140716,0.000335473,-0.022058869
14-Apr,0.000144606,-0.50591568,0.001798391,-0.503972683,0.000216909,0.271922,0.001449912,0.273588821,0.000361516,-0.23399368,0.003248303,-0.230383861
14-May,-0.000122961,-1.06232976,0.000522351,-1.06193037,-0.000184441,-0.90128324,-0.000664746,-0.902132427,-0.000307402,-1.963613,-0.000142395,-1.964062797
14-Jun,-0.00094169,-0.16428888,0.00035134,-0.16487923,-0.001412536,0.11573788,0.000371267,0.114696612,-0.002354226,-0.048551,0.000722607,-0.050182619
14-Jul,0.000362193,1.01036094,-0.002613356,1.008109778,0.00054329,0.40202168,0.001559778,0.404124748,0.000905483,1.41238262,-0.001053578,1.412234525
14-Aug,-0.000495913,-1.70660484,0.004002159,-1.703098594,-0.000743869,-0.68950016,-0.00242542,-0.692669449,-0.001239782,-2.396105,0.001576739,-2.395768043
