Date,Gov.bond_allocation,Gov.bond_selection,Gov.bond_interaction,Gov.bond_total,HY.Bond_allocation,HY.Bond_selection,HY.Bond_interaction,HY.Bond_total,Inv.Bond_allocation,Inv.Bond_selection,Inv.Bond_interaction,Inv.Bond_total,allocation_total,selection_total,interaction_total,total
12-May,-0.004680122,0.31261464,-0.002096645,0.305837873,-0.016472993,0.9935592,0.018793498,0.995879705,-0.001011736,-0.342417775,0.002001784,-0.341427726,-0.022164851,0.963756065,0.018698637,0.960289851
12-Jun,-0.003045402,0.6360338,0.002722287,0.635710685,-0.006165206,-0.7420498,0.005391903,-0.742823103,-4.09E-05,0.30454116,9.09E-05,0.304591207,-0.009251504,0.19852516,0.008205133,0.197478788
12-Jul,-0.002532169,0.11468808,0.000824721,0.112980632,2.94E-05,-0.51836855,7.19E-05,-0.518267244,-0.004581185,-1.87851559,0.015252081,-1.867844694,-0.007083938,-2.28219606,0.016148692,-2.273131306
12-Aug,-0.000648438,-0.11093056,-0.00049863,-0.112077628,-0.000518662,-0.915474425,0.001903564,-0.914089523,0.000384106,-0.881699875,0.00321987,-0.878095899,-0.000782994,-1.90810486,0.004624804,-1.90426305
12-Sep,0.001112601,-0.3858696,0.001428755,-0.383328245,2.65E-05,-0.67467205,-0.000440202,-0.675085705,0.000978291,0.22773569,0.000857561,0.229571542,0.002117439,-0.83280596,0.001846113,-0.828842408
12-Oct,0.000126164,0.16892864,-7.05E-05,0.168984291,-2.80E-05,-0.30511255,0.000162239,-0.304978346,0.000213809,-0.341847765,-0.000292914,-0.34192687,0.000311938,-0.478031675,-0.000201187,-0.477920925
12-Nov,-0.000323734,-0.17539636,0.0004451,-0.175274994,-0.000175838,-0.379096475,0.000534082,-0.378738231,-0.000985933,0.519292935,0.002028624,0.520335626,-0.001485504,-0.0351999,0.003007806,-0.033677599
12-Dec,0.000308762,0.51494976,-0.000698725,0.514559797,-0.001188987,-0.25287625,0.00086554,-0.253199697,-0.000478755,0.41705699,0.001666377,0.418244612,-0.00135898,0.6791305,0.001833192,0.679604712
13-Jan,-4.81E-06,0.68782776,-0.00076769,0.687055261,-0.000140572,-0.054087775,3.20E-05,-0.054196324,-0.000410583,0.380164575,0.000645691,0.380399683,-0.000555965,1.01390456,-9.00E-05,1.01325862
13-Feb,0.000506215,-0.01588172,6.20E-05,-0.015313477,0.000407518,0.452177975,0.005566669,0.458152162,-0.000417859,-0.618299185,0.002677112,-0.616039932,0.000495874,-0.18200293,0.00830581,-0.173201247
13-Mar,-8.08E-06,-0.22275768,-5.03E-05,-0.222816063,0.000300691,-0.551335525,-0.0011131,-0.552147934,0.000192399,-0.45212356,0.000768688,-0.451162474,0.000485012,-1.226216765,-0.000394717,-1.226126471
13-Apr,0.002457368,-1.6653148,0.012591778,-1.650265654,0.000907579,-0.159794575,-0.001138951,-0.160025947,0.000701753,-0.43103361,-0.00153027,-0.431862127,0.0040667,-2.256142985,0.009922557,-2.242153728
13-May,-0.001815194,0.48786804,-0.002983995,0.483068852,-0.000132287,0.1958201,0.000839577,0.19652739,-0.00104445,2.01306322,0.007906657,2.019925427,-0.002991931,2.69675136,0.005762239,2.699521668
13-Jun,-0.002013203,1.04917288,-0.005688655,1.041471023,0.000732272,0.54638075,0.00529651,0.552409532,0.000325092,0.91833686,-0.000668122,0.91799383,-0.000955839,2.51389049,-0.001060266,2.511874384
13-Jul,-0.003645864,1.52096032,0.011225181,1.528539638,-0.001561373,-0.303147125,0.001027278,-0.30368122,-0.000199914,-0.52306597,0.003145796,-0.520120088,-0.005407151,0.694747225,0.015398256,0.704738331
13-Aug,-0.001777144,-0.3483514,0.004198885,-0.345929659,-0.000484236,0.36383975,0.001738166,0.36509368,-0.000477481,1.64022271,0.016997937,1.656743166,-0.002738861,1.65571106,0.022934988,1.675907187
13-Sep,4.29E-05,0.30866336,0.001089248,0.309795496,4.99E-06,0.07472975,0.000538229,0.075272971,0.000117898,-0.837924045,0.007690115,-0.830116032,0.000165777,-0.454530935,0.009317592,-0.445047565
13-Oct,-1.80E-05,-0.68935752,-2.89E-05,-0.689404385,-0.000522717,-0.68247925,0.001264331,-0.681737636,0.00018685,-0.37954133,-0.000484047,-0.379838528,-0.000353835,-1.7513781,0.000751387,-1.750980548
13-Nov,0.000287039,-0.78317124,0.002972476,-0.779911725,-5.97E-05,-0.802243725,0.000396427,-0.801907014,-0.000212108,0.403332475,0.001891874,0.405012241,1.52E-05,-1.18208249,0.005260776,-1.176806499
13-Dec,0.001012821,-0.26889488,0.001029444,-0.266852616,0.002208326,0.7530117,0.012032241,0.767252267,-0.000889261,-0.743853495,0.005235317,-0.739507438,0.002331886,-0.259736675,0.018297003,-0.239107787
14-Jan,1.60E-05,-0.38977572,0.000874488,-0.388885205,-0.00163895,-0.3895334,-0.002990023,-0.394162372,-0.000644049,0.114227995,-0.000333399,0.113250547,-0.002266972,-0.665081125,-0.002448933,-0.669797031
14-Feb,0.000399865,-0.8515888,0.001064644,-0.850124292,0.001441976,-0.386217825,-0.001838173,-0.386614022,-3.33E-05,-0.089100235,0.000175599,-0.088957886,0.001808591,-1.32690686,-0.00059793,-1.3256962
14-Mar,-0.000625872,1.14260104,0.0084882,1.150463369,-0.000147665,-0.527866725,0.002839997,-0.525174393,-0.00026397,-0.40610171,0.001887214,-0.404478467,-0.001037507,0.208632605,0.013215411,0.220810509
14-Apr,-0.00010681,0.71980116,0.001603492,0.721297842,0.000845613,-0.533771575,0.004010004,-0.528915959,0.00045266,0.485600955,0.001369493,0.487423108,0.001191462,0.67163054,0.006982989,0.679804991
14-May,0.000584553,-1.13454024,0.004640843,-1.129314845,8.98E-05,-0.393734375,-0.002416205,-0.396060829,3.74E-05,-0.727657665,-0.00021215,-0.727832415,0.000711704,-2.25593228,0.002012488,-2.253208088
14-Jun,-0.000377833,0.45190292,0.001587628,0.453112715,0.000436299,0.0136805,4.49E-05,0.014161654,0.000162229,-0.179231269,0.001139392,-0.177929649,0.000220695,0.286352151,0.002771875,0.289344721
14-Jul,-0.003897165,-1.18030676,0.017444866,-1.166759059,-0.012312854,1.779532675,0.052431289,1.81965111,-0.00064064,0.354274445,-0.001471657,0.352162148,-0.01685066,0.95350036,0.068404498,1.005054199
14-Aug,0.000224878,-0.7762892,0.000752052,-0.775312271,-0.00055935,-0.90590235,0.003342852,-0.903118847,0.00030147,-0.045450615,-0.000170119,-0.045319264,-3.30E-05,-1.727642165,0.003924784,-1.723750382
14-Sep,-0.000242472,1.19431972,-0.001052249,1.193024998,-0.000376563,0.3507391,0.000832833,0.35119537,8.04E-05,0.72890713,-0.000502338,0.728485165,-0.000538662,2.27396595,-0.000721754,2.272705533
14-Oct,0.000385413,-0.2930042,0.003322725,-0.289296063,-0.000107215,0.274142975,0.002629136,0.276664897,0.000275961,0.59612924,0.003642321,0.600047522,0.000554159,0.577268015,0.009594182,0.587416356
