Date,L_allocation,L_selection,L_interation,S_allocation,S_selection,S_interation,L_total,S_total,allocation_total,selection_total,interaction_total,total
12-May,-0.051274733,4.075453716,-0.204317312,-0.185650292,0.727647701,0.597927091,3.819861671,1.1399245,-0.236925025,4.803101417,0.393609779,4.959786171
12-Jun,-0.010659514,-2.889746015,0.0387222,-0.033697014,-0.459589892,0.035184397,-2.86168333,-0.458102508,-0.044356528,-3.349335907,0.073906597,-3.319785838
12-Jul,-0.035945306,-0.792878448,0.072563858,-0.069845071,-0.035286539,0.037829056,-0.756259896,-0.067302553,-0.105790377,-0.828164987,0.110392914,-0.823562449
12-Aug,-0.092897422,-2.099375903,0.145349432,-0.02558996,-0.329516231,-0.00507789,-2.046923893,-0.360184081,-0.118487382,-2.428892134,0.140271542,-2.407107974
12-Sep,-0.006400335,-2.003574458,0.047034632,-0.024767265,-0.27182274,0.003624171,-1.96294016,-0.292965833,-0.031167599,-2.275397198,0.050658803,-2.255905993
12-Oct,-0.01839154,1.568464894,-0.096768844,-0.116627251,0.386507776,0.235134097,1.45330451,0.505014622,-0.135018791,1.95497267,0.138365253,1.958319132
12-Nov,-0.045498938,-0.443206273,0.076253445,-0.009532282,-0.047171046,0.011965861,-0.412451766,-0.044737467,-0.055031219,-0.490377319,0.088219306,-0.457189232
12-Dec,-0.025082953,0.123942308,0.020757372,-0.016450338,-0.28350527,0.013539626,0.119616728,-0.286415982,-0.04153329,-0.159562962,0.034296998,-0.166799254
13-Jan,-0.019221672,-3.687421435,-0.015678056,-0.024462882,-0.676467772,0.107244924,-3.722321163,-0.59368573,-0.043684554,-4.363889207,0.091566867,-4.316006893
13-Feb,-0.006910224,-0.910659685,0.022402736,-0.006627178,-0.113244338,-0.012523319,-0.895167173,-0.132394834,-0.013537401,-1.023904023,0.009879417,-1.027562007
13-Mar,-0.019371444,-2.47275613,0.042006117,-0.001031394,-0.46512445,-0.011008418,-2.450121457,-0.477164262,-0.020402837,-2.93788058,0.030997699,-2.927285719
