"","Date","LC_returns_b","SC_returns_b","LC_returns_p","SC_returns_p","LC_weights_b","SC_weights_b","LC_weights_p","SC_weights_p"
"1","May-12","-0.50056066","-0.600197458","-0.092898707","-3.3582999999997e-05","0.89","0.11","0.82124452","0.178755482"
"2","Jun-12","0.367556297","0.371757201","0.048198386","-0.005881656","0.89","0.11","0.890770139","0.109229861"
"3","Jul-12","0.114797577","0.008153047","0.028138899","-0.027080376","0.89","0.11","0.856974087","0.143025913"
"4","Aug-12","0.153455966","0.28013922","0.00829024","0.004964597","0.89","0.11","0.878249551","0.12175045"
"5","Sep-12","0.226123084","0.289682082","0.029770983","0.022756221","0.89","0.11","0.87987614","0.12012386"
"6","Oct-12","-0.101896553","-0.293735497","-0.02020501","0.025728263","0.89","0.11","0.836627663","0.163372337"
"7","Nov-12","0.036587747","0.118306815","0.0430533","0.07317335","0.89","0.11","0.860068556","0.139931447"
"8","Dec-12","0.09290378","0.202948879","0.083280544","-0.0088318582","0.89","0.11","0.882015475","0.117984523"
"9","Jan-13","0.496106454","0.567933203","0.065701535","0.004800371","0.89","0.11","0.905548832","0.094451168"
"10","Feb-13","0.117794031","0.136073087","0.01535901","0.044164304","0.89","0.11","0.86812701","0.13187299"
"11","Mar-13","0.344593759","0.39621792","0.064539498","-0.01045331","0.89","0.11","0.884071657","0.115928343"
"12","Apr-13","0.182744234","-0.013271926","0.042096555","0.059059685","0.89","0.11","0.846655078","0.153344922"
"13","May-13","0.118396873","0.400670433","0.076869528","-0.017091294","0.89","0.11","0.894396652","0.105603348"
"14","Jun-13","-0.115613942","-0.046779696","-0.045544689","-0.006069126","0.89","0.11","0.853335485","0.146664515"
"15","Jul-13","0.468954291","0.650522301","0.048663877","0.043081229","0.89","0.11","0.89776349","0.102236508"
"16","Aug-13","-0.257084802","-0.261020875","-0.061143776","0.038651305","0.89","0.11","0.836562112","0.163437888"
"17","Sep-13","0.289121106","0.555146808","0.068361429","0.022365796","0.89","0.11","0.900166845","0.099833156"
